Name,Species,Trial,Correct
Penn,Dog,5,0
Penn,Dog,6,1
Penn,Dog,7,1
Penn,Dog,8,1
Penn,Dog,9,1
Penn,Dog,10,1
Porter,Dog,1,0
Porter,Dog,2,1
Porter,Dog,3,1
Porter,Dog,4,1
Porter,Dog,5,1
Porter,Dog,6,1
Porter,Dog,7,1
Porter,Dog,8,1
Porter,Dog,9,0
Porter,Dog,10,1
Divot,Dog,1,0
Divot,Dog,2,1
Divot,Dog,3,1
Divot,Dog,4,1
Divot,Dog,5,1
Divot,Dog,6,1
Divot,Dog,7,1
Divot,Dog,8,1
Divot,Dog,9,1
Divot,Dog,10,1
Apollo,Dog,1,1
Apollo,Dog,2,1
Apollo,Dog,3,1
Apollo,Dog,4,1
Apollo,Dog,5,1
Apollo,Dog,6,1
Apollo,Dog,7,1
Apollo,Dog,8,1
Apollo,Dog,9,1
Apollo,Dog,10,1
Zelda,Dog,1,1
Zelda,Dog,2,1
Zelda,Dog,3,1
Zelda,Dog,4,1
Zelda,Dog,5,1
Zelda,Dog,6,1
Zelda,Dog,7,1
Zelda,Dog,8,1
Zelda,Dog,9,1
Zelda,Dog,10,NA
Orion,Dog,1,1
Orion,Dog,2,1
Orion,Dog,3,1
Orion,Dog,4,1
Orion,Dog,5,1
Orion,Dog,6,1
Orion,Dog,7,1
Orion,Dog,8,1
Orion,Dog,9,1
Orion,Dog,10,1
CCI02,Dog,1,0
CCI02,Dog,2,1
CCI02,Dog,3,1
CCI02,Dog,4,1
CCI02,Dog,5,1
CCI02,Dog,6,1
CCI02,Dog,7,1
CCI02,Dog,8,1
CCI02,Dog,9,1
CCI02,Dog,10,1
CCI01,Dog,1,1
CCI01,Dog,2,1
CCI01,Dog,3,1
CCI01,Dog,4,1
CCI01,Dog,5,1
CCI01,Dog,6,1
CCI01,Dog,7,1
CCI01,Dog,8,1
CCI01,Dog,9,1
CCI01,Dog,10,1
CCI03,Dog,1,0
CCI03,Dog,2,0
CCI03,Dog,3,0
CCI03,Dog,4,0
CCI03,Dog,5,1
CCI03,Dog,6,1
CCI03,Dog,7,1
CCI03,Dog,8,1
CCI03,Dog,9,1
CCI03,Dog,10,1
CCI04,Dog,1,0
CCI04,Dog,2,0
CCI04,Dog,3,0
CCI04,Dog,4,0
CCI04,Dog,5,0
CCI04,Dog,6,0
CCI04,Dog,7,0
CCI04,Dog,8,1
CCI04,Dog,9,0
CCI04,Dog,10,0
CCI05,Dog,1,1
CCI05,Dog,2,1
CCI05,Dog,3,0
CCI05,Dog,4,0
CCI05,Dog,5,1
CCI05,Dog,6,1
CCI05,Dog,7,1
CCI05,Dog,8,1
CCI05,Dog,9,1
CCI05,Dog,10,1
Blue,Wolf,1,0
Blue,Wolf,2,1
Blue,Wolf,3,0
Blue,Wolf,4,0
Blue,Wolf,5,0
Blue,Wolf,6,1
Blue,Wolf,7,1
Blue,Wolf,8,1
Blue,Wolf,9,1
Blue,Wolf,10,0
Echo,Wolf,1,0
Echo,Wolf,2,1
Echo,Wolf,3,1
Echo,Wolf,4,1
Echo,Wolf,5,1
Echo,Wolf,6,1
Echo,Wolf,7,1
Echo,Wolf,8,1
Echo,Wolf,9,1
Echo,Wolf,10,1
CCI06,Dog,1,0
CCI06,Dog,2,0
CCI06,Dog,3,1
CCI06,Dog,4,1
CCI06,Dog,5,0
CCI06,Dog,6,1
CCI06,Dog,7,0
CCI06,Dog,8,1
CCI06,Dog,9,1
CCI06,Dog,10,1
CCI07,Dog,1,1
CCI07,Dog,2,0
CCI07,Dog,3,0
CCI07,Dog,4,1
CCI07,Dog,5,1
CCI07,Dog,6,1
CCI07,Dog,7,0
CCI07,Dog,8,1
CCI07,Dog,9,0
CCI07,Dog,10,1
CCI08,Dog,1,0
CCI08,Dog,2,0
CCI08,Dog,3,1
CCI08,Dog,4,1
CCI08,Dog,5,0
CCI08,Dog,6,1
CCI08,Dog,7,1
CCI08,Dog,8,1
CCI08,Dog,9,1
CCI08,Dog,10,1
CCI09,Dog,1,0
CCI09,Dog,2,1
CCI09,Dog,3,0
CCI09,Dog,4,1
CCI09,Dog,5,0
CCI09,Dog,6,1
CCI09,Dog,7,1
CCI09,Dog,8,1
CCI09,Dog,9,1
CCI09,Dog,10,1
CCI10,Dog,1,0
CCI10,Dog,2,1
CCI10,Dog,3,0
CCI10,Dog,4,1
CCI10,Dog,5,0
CCI10,Dog,6,1
CCI10,Dog,7,1
CCI10,Dog,8,1
CCI10,Dog,9,1
CCI10,Dog,10,1
CCI11,Dog,1,0
CCI11,Dog,2,0
CCI11,Dog,3,0
CCI11,Dog,4,1
CCI11,Dog,5,0
CCI11,Dog,6,1
CCI11,Dog,7,0
CCI11,Dog,8,1
CCI11,Dog,9,1
CCI11,Dog,10,0
CCI12,Dog,1,0
CCI12,Dog,2,0
CCI12,Dog,3,0
CCI12,Dog,4,0
CCI12,Dog,5,1
CCI12,Dog,6,1
CCI12,Dog,7,0
CCI12,Dog,8,1
CCI12,Dog,9,1
CCI12,Dog,10,1
CCI14,Dog,1,0
CCI14,Dog,2,0
CCI14,Dog,3,1
CCI14,Dog,4,0
CCI14,Dog,5,1
CCI14,Dog,6,1
CCI14,Dog,7,1
CCI14,Dog,8,1
CCI14,Dog,9,1
CCI14,Dog,10,1
CCI15,Dog,1,0
CCI15,Dog,2,0
CCI15,Dog,3,1
CCI15,Dog,4,1
CCI15,Dog,5,1
CCI15,Dog,6,1
CCI15,Dog,7,1
CCI15,Dog,8,1
CCI15,Dog,9,1
CCI15,Dog,10,1
CCI16,Dog,1,0
CCI16,Dog,2,1
CCI16,Dog,3,0
CCI16,Dog,4,0
CCI16,Dog,5,0
CCI16,Dog,6,1
CCI16,Dog,7,1
CCI16,Dog,8,1
CCI16,Dog,9,1
CCI16,Dog,10,0
CCI17,Dog,1,0
CCI17,Dog,2,1
CCI17,Dog,3,1
CCI17,Dog,4,1
CCI17,Dog,5,1
CCI17,Dog,6,1
CCI17,Dog,7,1
CCI17,Dog,8,1
CCI17,Dog,9,0
CCI17,Dog,10,1
CCI18,Dog,1,0
CCI18,Dog,2,0
CCI18,Dog,3,0
CCI18,Dog,4,1
CCI18,Dog,5,0
CCI18,Dog,6,0
CCI18,Dog,7,1
CCI18,Dog,8,1
CCI18,Dog,9,1
CCI18,Dog,10,1
CCI19,Dog,1,0
CCI19,Dog,2,0
CCI19,Dog,3,1
CCI19,Dog,4,1
CCI19,Dog,5,0
CCI19,Dog,6,1
CCI19,Dog,7,1
CCI19,Dog,8,1
CCI19,Dog,9,1
CCI19,Dog,10,1
CCI20,Dog,1,0
CCI20,Dog,2,1
CCI20,Dog,3,0
CCI20,Dog,4,0
CCI20,Dog,5,1
CCI20,Dog,6,0
CCI20,Dog,7,1
CCI20,Dog,8,1
CCI20,Dog,9,1
CCI20,Dog,10,1
CCI21,Dog,1,0
CCI21,Dog,2,0
CCI21,Dog,3,0
CCI21,Dog,4,0
CCI21,Dog,5,1
CCI21,Dog,6,1
CCI21,Dog,7,0
CCI21,Dog,8,1
CCI21,Dog,9,1
CCI21,Dog,10,1
CCI22,Dog,1,0
CCI22,Dog,2,0
CCI22,Dog,3,1
CCI22,Dog,4,1
CCI22,Dog,5,1
CCI22,Dog,6,1
CCI22,Dog,7,1
CCI22,Dog,8,1
CCI22,Dog,9,1
CCI22,Dog,10,0
CCI23,Dog,1,0
CCI23,Dog,2,1
CCI23,Dog,3,1
CCI23,Dog,4,1
CCI23,Dog,5,1
CCI23,Dog,6,1
CCI23,Dog,7,1
CCI23,Dog,8,1
CCI23,Dog,9,1
CCI23,Dog,10,1
CCI24,Dog,1,0
CCI24,Dog,2,0
CCI24,Dog,3,0
CCI24,Dog,4,1
CCI24,Dog,5,1
CCI24,Dog,6,1
CCI24,Dog,7,0
CCI24,Dog,8,1
CCI24,Dog,9,1
CCI24,Dog,10,0
CCI25,Dog,1,0
CCI25,Dog,2,0
CCI25,Dog,3,1
CCI25,Dog,4,1
CCI25,Dog,5,1
CCI25,Dog,6,1
CCI25,Dog,7,1
CCI25,Dog,8,1
CCI25,Dog,9,1
CCI25,Dog,10,0
CCI26,Dog,1,0
CCI26,Dog,2,1
CCI26,Dog,3,0
CCI26,Dog,4,0
CCI26,Dog,5,0
CCI26,Dog,6,0
CCI26,Dog,7,0
CCI26,Dog,8,1
CCI26,Dog,9,1
CCI26,Dog,10,1
CCI27,Dog,1,0
CCI27,Dog,2,0
CCI27,Dog,3,1
CCI27,Dog,4,1
CCI27,Dog,5,0
CCI27,Dog,6,1
CCI27,Dog,7,1
CCI27,Dog,8,1
CCI27,Dog,9,1
CCI27,Dog,10,1
CCI28,Dog,1,1
CCI28,Dog,2,0
CCI28,Dog,3,1
CCI28,Dog,4,1
CCI28,Dog,5,1
CCI28,Dog,6,1
CCI28,Dog,7,1
CCI28,Dog,8,1
CCI28,Dog,9,1
CCI28,Dog,10,1
CCI29,Dog,1,0
CCI29,Dog,2,0
CCI29,Dog,3,1
CCI29,Dog,4,1
CCI29,Dog,5,1
CCI29,Dog,6,1
CCI29,Dog,7,1
CCI29,Dog,8,1
CCI29,Dog,9,1
CCI29,Dog,10,1
CCI30,Dog,1,0
CCI30,Dog,2,1
CCI30,Dog,3,0
CCI30,Dog,4,1
CCI30,Dog,5,1
CCI30,Dog,6,1
CCI30,Dog,7,1
CCI30,Dog,8,1
CCI30,Dog,9,1
CCI30,Dog,10,1
CCI32,Dog,1,0
CCI32,Dog,2,1
CCI32,Dog,3,1
CCI32,Dog,4,1
CCI32,Dog,5,1
CCI32,Dog,6,1
CCI32,Dog,7,1
CCI32,Dog,8,1
CCI32,Dog,9,1
CCI32,Dog,10,1
